"tag","patterns__-","responses__-","context__-"
"Insurance","What do you mean by exclusions under the Accidental Protection Plan - Hospital Cash","Exclusions are situations or conditions where HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.",""
"Insurance","How do I make a claim","You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (any line) or 022 6638 4800 (local/STD charges apply). We will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",""
"Insurance","When does my Revive Policy for Personal Accident start","It will commence within 15 days from the date of receipt of the form and premium payment.",""
"Insurance","What plans are available under  the Revive Policy for Personal Accident ","HDFC ERGO offers a wide range of sums insured ranging from Rs. 2.5 Lakhs to Rs. 15 Lakhs, with four plan options to choose from: Self Plan Self and Family Plan Self + Dependent Parents Add-On Self and Family + Dependent Parents Add-On",""
"Insurance","What benefit do I get from the Revive Policy for Personal Accident if I break my bones","You get 10% of the sum insured up to Rs. 50,000 (for dependent parents) if you break your bones in an accident.",""
"Insurance","Is there an age limit to buy an  Accidental Protection Plan - Hospital Cash policy","We can insure anyone between the age of 18 and 69 years.",""
"Insurance","Who can be a beneficiary under the Accidental Protection Plan - Hospital Cash","A beneficiary can be any member of your family.",""
"Insurance","How do I renew my Accidental Protection Plan - Hospital Cash policy","We will send you renewal reminders. The number of days in advance the reminder is sent depends on the pay plan you have opted for. Pay plan break up: Cheque – 45 days Credit Card – 60 days View more",""
"Insurance","Will I get a renewed Revive Policy for Personal Accident policy","Yes, you will receive a renewed policy.",""
"Insurance","What is the definition of a dependent child","A dependent child is an unmarried child between the age of 3 months and 18 years, or up to 21 years if in full time education, residing with the insured person.",""
"Insurance","Does  the Accidental Protection Plan - Hospital Cash policy cover natural death and daily sickness as well","This policy only covers accidental death.",""
"Insurance","Does this the Revive Policy for Personal Accident cover natural death and daily sickness","This policy only covers accidental death.",""
"Insurance","What benefit do I get from the Accidental Protection Plan - Hospital Cash policy if I break my bones","You will be paid up to Rs. 50,000 if you break your bones in an accident.",""
"Insurance","How do I make my premium payments for my Accidental Protection Plan - Hospital Cash policy","This is an annual policy where the premium can be made online via Credit Card, NetBanking or Cheque.",""
"Insurance","What is an accident","An accident is any sudden or unexpected event, which leads to permanent physical disability or accidental death.",""
"Insurance","When does my Accidental Protection Plan - Hospital Cash policy start","Your policy will commence within 15 days from the date of receipt of the form and premium payment.",""
"Insurance","What is the definition of a dependent child","A dependent child is an unmarried child between the age of 3 months and 18 years, or up to 21 years if in full time education, residing with the insured person.",""
"Insurance","Does  the Accidental Protection Plan - Hospital Cash policy have a hospital cash benefit","Yes hospital cash provides a benefit of Rs. 1,000 for every day up to a maximum of 30 days in case of hospitalization due to an accident.",""
"Insurance","What is the cancellation procedure","The policy can be cancelled with a notice period of 30 days. The premium paid by you will be returned on a pro-rata basis or 25% of the annual premium, whichever is higher will be retained. Any cancellation request sent after 30 days of commencement of the policy will be refunded on a pro-rata basis.",""
